Host,H3K4,H3K4ac,H3K4me1,H3K4me2,H3K4me3,H3K9me3,H3R2me2a,H3R2me2s
PSC4,4.1,17,2.2,0.83,0.56,1.4,2.3,5.7
PSC6,0.38,2.9,0.26,0.058,0.017,0.084,0.22,0.37
PNO2,17,16.2,7.6,1.8,1.4,6.6,3,2.1
AP1,3.2,8.9,1,0.27,0.1,0.28,0.44,1.5
AP3,2.1,6,1.2,0.31,0.19,0.42,0.65,1.8
AP4,3.8,8,1.2,0.46,0.19,0.41,1.2,3.2
AP5,4.3,7.7,1.3,0.44,0.14,0.31,0.6,1.6
AP6,1.6,0.88,0.12,0.013,0.015,0.039,0.049,0.23
AP7,1.8,1.4,0.56,0.051,0.073,0.018,0.13,0.71
AP8,0.27,1,0.046,0.0056,0.0066,0.023,0.015,0.074
AP9,0.31,1.7,0.077,0.007,0.008,0.03,0.02,0.12
AM1,3.4,6.9,1.2,0.5,0.26,0.53,0.9,2.5
AM2,1.9,7.8,0.53,0.16,0.06,0.14,0.25,1.2
AH1,1.3,12,0.36,0.031,0.035,0.093,0.16,0.76
AH2,1.2,2.6,1,0.4,0.38,0.64,1.2,1.3
AH3,1.3,3,0.21,0.019,0.055,0.19,0.17,0.29
AH4,0.89,4.1,0.11,0.005,0.03,0.11,0.097,0.24
AH5,23,100,8.3,0.9,1,3.4,3.8,9
AH6,23,100,8.3,0.9,1,3.4,3.8,9
AH7,11,11,2.5,0.34,0.39,1,1.2,4.4
AO1,7.9,9.3,5.4,0.87,0.73,1.4,2.3,4.5
AO2,4.1,7,1.1,0.29,0.11,0.08,0.92,1.6
AO3,4.3,6.2,2.2,0.57,0.33,0.6,1.6,1.8
BP0,100,1,2.5,0.27,0.54,0.69,2.2,4.9
BP1,1,6.5,0.17,0.024,0.018,0.042,0.054,0.27
BM1,0.16,0.41,0.18,0.11,0.1,0.21,0.27,0.29
BH2,100,2,4,0.68,2.1,4,1.8,4.1
DP2,0.7,1.1,0.25,0.1,0.039,0.071,0.088,0.26
DM1,0.36,0.77,0.44,0.12,0.083,0.32,3.5,0.59
DO2,0.036,0.05,4.4,1.3,0.61,1.5,4.1,4.7
DO3,0.0038,0.0019,0.023,0.0081,0.0048,0.011,0.016,0.0038
CP1,100,3.8,1.5,0.31,0.52,0.59,0.62,0.65
CP2,100,1000,6.2,0.27,0.57,1.2,0.55,4.4
E1,2.4,4.9,0.79,0.25,0.11,0.29,0.38,1.6
E3,1.1,2.7,0.35,0.05,0.083,0.32,0.36,0.79
E5,57,100,2.1,0.47,0.31,0.81,1.5,4.7
E6,0.51,1.1,0.17,0.057,0.083,2.2,1.5,0.6
E7,7.9,12,4.2,0.66,0.78,2,3.3,8.9
E8,15,100,2.6,0.88,0.86,2.6,3.6,23
E11,39,100,5.9,3.2,0.46,2.1,5.9,18
F2,1000,1000,0.0038,0.0098,0.018,0.0071,0.0091,0.02
F3,7.1,100,0.6,0.19,0.72,100,0.34,1.3
F4,3.9,19,2.1,0.18,1,5.3,2,4.9
